[2024-11-05 10:44:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:44:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:44:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:44:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:44:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:44:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:44:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:45:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:46:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:47:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:48:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:49:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:50:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:12] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:22] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:32] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:42] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:51:52] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:52:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:52:02] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:52:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
